Action 4732225 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732226 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732227 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732228 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732229 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732230 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732231 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732232 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732233 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732234 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732235 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732236 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732237 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732238 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732239 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732240 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732241 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732242 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
